[2025-08-23 19:53:17.152] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-08-23 19:53:17.152] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-08-23 19:53:17.152] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-08-23 19:53:17.152] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-08-23 19:53:17.157] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-08-23 19:53:17.157] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-08-23 19:53:17.157] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-08-23 19:53:17.157] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-08-23 19:53:17.160] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-08-23 19:53:17.160] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-08-23 19:53:17.160] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-08-23 19:53:17.161] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-08-23 19:53:17.423] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-23 19:53:17.579] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-08-23 19:53:17.579] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-08-23 19:53:17.579] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-08-23 19:53:17.579] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-08-23 19:53:17.581] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-08-23 19:53:17.581] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-08-23 19:53:17.581] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-08-23 19:53:17.582] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-08-23 19:53:17.585] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-08-23 19:53:17.585] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-08-23 19:53:17.585] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":11}
[2025-08-23 19:53:17.585] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":11}
[2025-08-23 19:53:17.588] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":14}
[2025-08-23 19:53:17.588] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":14}
